condition,seqID,iSession,iRun,iTrial,stiID,category,ambiguous,miss,choice,presskey,rating,feedback,fixDU,choRT,rateRT,fdbDU
3,2,1,3,36,36,1,0,0,2,4,4,0.5,2.127,3.879,1.05,4.634
3,2,1,3,37,37,4,1,0,3,3,6,0.5,2.122,1.59,0.248,1.946
3,2,1,3,38,38,1,1,0,4,2,4,0.0,1.86,6.258,0.254,1.119
3,2,1,3,39,39,4,0,0,3,3,6,0.5,1.823,2.087,0.792,3.86
3,2,1,3,40,40,3,0,0,2,4,6,0.0,1.952,1.8,0.379,0.79
3,2,1,3,41,41,1,0,0,2,4,3,0.5,1.829,14.579,1.605,3.602
3,2,1,3,42,42,2,1,0,2,4,4,1.0,1.908,7.866,0.971,3.956
3,2,1,3,43,43,2,1,0,1,1,3,0.5,1.805,5.033,2.307,3.038
3,2,1,3,44,44,2,0,0,1,1,4,0.5,1.844,5.772,2.197,4.63
3,2,1,3,45,45,4,0,0,3,3,6,0.5,1.995,1.756,0.894,3.363
3,2,1,3,46,46,3,0,0,2,4,4,0.0,1.908,1.369,1.591,2.114
3,2,1,3,47,47,1,0,0,1,1,5,1.0,2.178,6.741,0.797,1.059
3,2,1,3,48,48,3,0,0,2,4,4,0.0,1.962,7.254,1.258,1.029
3,2,1,3,49,49,3,0,0,3,3,5,1.0,1.946,6.013,1.131,0.942
3,2,1,3,50,50,2,0,0,4,2,2,0.0,2.172,6.403,0.355,1.553
3,2,1,3,51,51,1,1,0,4,2,4,0.0,2.026,3.005,1.538,1.077
3,2,1,3,52,52,3,0,0,2,4,6,0.0,1.887,4.816,0.27,1.075
3,2,1,3,53,53,4,0,0,3,3,5,0.5,1.997,3.922,1.289,1.391
3,2,1,3,54,54,4,0,0,4,2,4,1.0,1.849,3.758,1.979,0.916
3,2,1,3,55,55,3,0,0,1,1,4,0.0,1.912,5.238,1.274,1.144
3,2,1,3,56,56,4,1,0,4,2,5,1.0,2.093,4.098,1.026,1.037
3,2,1,3,57,57,4,0,0,2,4,4,0.0,2.175,8.392,1.282,1.013
3,2,1,3,58,58,4,0,0,2,4,4,0.0,1.936,10.735,1.983,1.548
3,2,1,3,59,59,1,0,0,1,1,3,1.0,1.939,7.108,1.066,0.962
3,2,1,4,60,60,4,0,0,4,2,4,1.0,1.801,6.939,0.914,1.052
3,2,1,4,61,61,2,0,0,1,1,4,0.5,2.064,7.303,0.534,0.625
3,2,1,4,62,62,2,1,0,3,3,5,0.0,2.108,4.819,0.516,0.593
3,2,1,4,63,63,4,1,0,2,4,3,0.0,2.02,5.459,0.818,0.571
3,2,1,4,64,64,1,0,0,1,1,5,1.0,1.988,2.243,0.472,0.714
3,2,1,4,65,65,1,0,0,1,1,5,1.0,1.934,1.809,0.497,0.551
3,2,1,4,66,66,4,1,0,2,4,5,0.0,2.129,1.918,0.797,8.721
3,2,1,4,67,67,2,0,0,3,3,6,0.0,1.971,7.148,0.372,0.5
3,2,1,4,68,68,4,0,0,4,2,5,1.0,1.944,1.392,0.577,1.053
3,2,1,4,69,69,3,0,0,4,2,4,0.5,1.83,8.601,1.417,1.259
3,2,1,4,70,70,1,1,0,2,4,4,0.5,1.971,3.981,1.219,1.027
3,2,1,4,71,71,2,0,0,2,4,6,1.0,1.981,3.154,0.685,0.693
3,2,1,4,72,72,4,0,0,1,1,3,0.0,1.883,2.932,0.411,0.649
3,2,1,4,73,73,4,0,0,4,2,5,1.0,1.819,3.636,2.568,1.971
3,2,1,4,74,74,2,0,0,3,3,6,0.0,2.158,1.29,0.367,1.03
3,2,1,4,75,75,1,0,0,4,2,5,0.0,1.908,3.699,0.339,1.655
3,2,1,4,76,76,1,0,0,1,1,4,1.0,2.177,8.174,0.614,0.83
3,2,1,4,77,77,1,0,0,1,1,5,1.0,2.063,0.728,0.954,0.629
3,2,1,4,78,78,2,1,0,4,2,4,0.0,2.183,5.665,0.984,1.012
3,2,1,4,79,79,4,0,0,3,3,4,0.5,2.149,9.37,0.604,0.955
3,2,1,4,80,80,2,0,0,2,4,5,1.0,2.055,4.216,0.995,4.138
3,2,1,4,81,81,3,1,0,4,2,5,0.5,1.978,7.694,1.017,1.285
3,2,1,4,82,82,2,1,0,4,2,4,0.0,1.917,5.794,0.626,1.521
3,2,1,4,83,83,2,1,0,4,2,2,0.0,2.108,12.259,0.899,0.861
3,2,1,4,84,84,3,1,0,1,1,4,0.0,1.888,7.807,0.6,0.546
3,2,1,4,85,85,4,0,0,2,4,4,0.0,2.04,5.399,0.379,0.468
3,2,1,4,86,86,1,1,0,1,1,3,1.0,1.862,3.585,0.421,0.87
3,2,1,5,87,87,3,1,0,3,3,5,1.0,1.971,9.192,0.551,0.716
3,2,1,5,88,88,1,1,0,2,4,6,0.5,2.128,5.919,0.449,0.535
3,2,1,5,89,89,3,0,0,3,3,5,1.0,2.022,5.937,0.215,1.077
3,2,1,5,90,90,2,0,0,2,4,4,1.0,1.802,4.772,0.741,0.866
3,2,1,5,91,91,4,0,0,4,2,4,1.0,1.875,10.276,0.502,1.197
3,2,1,5,92,92,3,0,0,2,4,6,0.0,2.154,3.982,0.57,0.557
3,2,1,5,93,93,2,0,0,2,4,3,1.0,2.185,6.494,0.632,0.709
3,2,1,5,94,94,4,0,0,1,1,3,0.0,1.913,10.034,0.728,1.803
3,2,1,5,95,95,3,0,0,1,1,4,0.0,2.04,3.463,1.01,1.475
3,2,1,5,96,96,3,0,0,2,4,4,0.0,1.815,8.641,0.866,0.625
3,2,1,5,97,97,1,0,0,2,4,4,0.5,2.042,3.59,0.477,0.667
3,2,1,5,98,98,4,0,0,3,3,5,0.5,1.9,3.883,1.513,0.884
3,2,1,5,99,99,4,0,0,2,4,6,0.0,1.904,2.447,0.293,1.714
3,2,1,5,100,100,4,1,0,2,4,6,0.0,1.829,4.362,0.667,0.818
3,2,1,5,101,101,1,0,0,4,2,3,0.0,1.801,6.254,0.504,0.885
3,2,1,5,102,102,4,0,0,4,2,4,1.0,1.819,9.572,0.565,10.867
3,2,1,5,103,103,1,0,0,2,4,5,0.5,2.107,2.852,0.792,1.552
3,2,1,5,104,104,1,0,0,3,3,4,0.0,2.2,2.896,1.902,1.13
3,2,1,5,105,105,2,0,0,4,2,4,0.0,1.81,7.838,0.493,1.802
3,2,1,5,106,106,1,1,0,1,1,3,1.0,2.189,6.738,0.568,11.803
3,2,1,5,107,107,2,0,0,4,2,4,0.0,1.933,4.906,1.469,0.671
3,2,1,5,108,108,4,0,0,3,3,6,0.5,1.825,2.934,0.25,0.797
3,2,1,5,109,109,1,0,0,2,4,4,0.5,1.887,4.959,0.706,0.708
3,2,1,5,110,110,2,0,0,3,3,6,0.0,1.858,0.325,0.153,0.618
3,2,1,5,111,111,4,0,0,3,3,6,0.5,1.898,5.47,0.303,0.588
3,2,1,6,112,112,2,0,0,2,4,5,1.0,1.996,3.859,0.7,0.723
3,2,1,6,113,113,1,0,0,4,2,4,0.0,2.136,2.639,0.505,0.571
3,2,1,6,114,114,2,0,0,4,2,4,0.0,2.129,4.51,1.719,0.965
3,2,1,6,115,115,3,0,0,3,3,5,1.0,2.148,2.276,0.453,0.781
3,2,1,6,116,116,3,1,0,2,4,4,0.0,2.125,3.402,1.005,0.701
3,2,1,6,117,117,2,0,0,2,4,4,1.0,2.067,1.787,0.684,0.918
3,2,1,6,118,118,1,0,0,1,1,4,1.0,1.938,2.261,0.258,2.397
3,2,1,6,119,119,1,1,0,4,2,5,0.0,1.87,2.976,1.177,0.546
3,2,1,6,120,120,3,0,0,3,3,5,1.0,2.107,6.076,0.433,3.468
3,2,1,6,121,121,3,0,0,3,3,6,1.0,2.079,3.575,0.228,0.965
3,2,1,6,122,122,4,0,0,4,2,4,1.0,2.03,8.225,0.632,3.605
3,2,1,6,123,123,3,0,0,1,1,3,0.0,2.012,6.196,0.657,0.885
3,2,1,6,124,124,3,0,0,2,4,4,0.0,2.167,10.801,0.444,0.485
3,2,1,6,125,125,3,1,0,2,4,4,0.0,1.912,1.895,0.432,0.509
3,2,1,6,126,126,3,0,0,1,1,4,0.0,2.009,2.846,0.771,0.511
3,2,1,6,127,127,1,1,0,2,4,5,0.5,2.045,4.506,0.506,0.684
3,2,1,6,128,128,3,0,0,1,1,4,0.0,2.125,10.186,0.627,0.596
3,2,1,6,129,129,2,0,0,4,2,5,0.0,2.087,10.184,0.691,0.578
3,2,1,6,130,130,3,0,0,3,3,6,1.0,2.158,2.345,0.292,0.605
3,2,1,6,131,131,4,1,0,2,4,4,0.0,2.127,1.736,0.486,0.524
3,2,1,6,132,132,2,1,0,2,4,6,1.0,1.924,0.195,0.233,0.38
3,2,1,6,133,133,1,1,0,1,1,4,1.0,1.818,4.63,0.954,0.68
3,2,1,6,134,134,4,1,0,4,2,4,1.0,2.058,7.381,0.983,2.683
3,2,1,6,135,135,2,0,0,2,4,6,1.0,1.82,0.891,0.321,0.596
3,2,1,6,136,136,4,1,0,3,3,4,0.5,1.848,4.944,0.637,0.768
3,2,1,6,137,137,2,0,0,2,4,6,1.0,2.055,0.632,0.358,0.537
3,2,1,6,138,138,3,0,0,4,2,4,0.5,2.094,11.833,0.36,6.077
3,2,1,6,139,139,2,0,0,1,1,4,0.5,1.81,7.989,0.371,1.956
3,2,1,6,140,140,4,0,0,3,3,6,0.5,2.033,0.326,0.285,4.177
3,2,1,7,141,141,1,0,0,1,1,4,1.0,1.974,8.156,0.386,5.832
3,2,1,7,142,142,4,1,0,4,2,4,1.0,1.907,8.356,0.394,2.728
3,2,1,7,143,143,4,0,0,1,1,4,0.0,1.822,2.153,0.361,0.793
3,2,1,7,144,144,1,1,0,1,1,5,1.0,1.993,3.005,0.663,0.629
3,2,1,7,145,145,4,0,0,3,3,5,0.5,2.132,2.804,0.31,0.491
3,2,1,7,146,146,2,0,0,2,4,4,1.0,2.035,9.211,0.297,0.55
3,2,1,7,147,147,3,1,0,2,4,5,0.0,2.153,2.734,0.562,0.577
3,2,1,7,148,148,1,0,0,1,1,6,1.0,1.863,2.64,0.411,0.687
3,2,1,7,149,149,3,0,0,3,3,5,1.0,2.083,8.132,0.35,0.586
3,2,1,7,150,150,1,0,0,4,2,4,0.0,1.953,3.958,0.494,0.687
3,2,1,7,151,151,2,0,0,2,4,6,1.0,1.856,0.791,0.473,0.629
3,2,1,7,152,152,3,0,0,1,1,4,0.0,2.159,3.377,0.5,0.57
3,2,1,7,153,153,1,1,0,1,1,4,1.0,1.887,3.727,0.355,0.533
3,2,1,7,154,154,1,0,0,1,1,5,1.0,2.117,3.554,0.481,0.515
3,2,1,7,155,155,3,0,0,1,1,5,0.0,1.892,6.483,0.409,0.412
3,2,1,7,156,156,3,1,0,2,4,4,0.0,2.0,2.784,1.995,0.827
3,2,1,7,157,157,2,1,0,2,4,6,1.0,1.854,1.442,0.216,0.478
3,2,1,7,158,158,1,1,0,4,2,4,0.0,2.152,5.255,0.725,0.661
3,2,1,7,159,159,2,0,0,3,3,4,0.0,1.801,4.95,0.79,0.437
3,2,1,7,160,160,3,0,0,3,3,5,1.0,2.01,4.726,0.32,0.6
3,2,1,7,161,161,4,0,0,3,3,5,0.5,2.114,2.865,0.51,0.581
3,2,1,7,162,162,2,0,0,1,1,3,0.5,1.933,5.259,0.406,0.708
3,2,1,7,163,163,1,0,0,1,1,6,1.0,1.912,0.199,0.315,0.789
3,2,1,7,164,164,1,0,0,1,1,5,1.0,2.061,1.522,0.839,0.484
3,2,1,7,165,165,2,0,0,4,2,5,0.0,1.919,4.528,0.821,2.238
3,2,1,7,166,166,4,0,0,4,2,5,1.0,2.005,9.858,0.356,3.276
3,2,1,7,167,167,1,0,0,1,1,5,1.0,2.133,5.754,0.072,0.747
3,2,1,7,168,168,1,0,0,1,1,6,1.0,2.097,1.983,0.355,0.558
3,2,1,7,169,169,4,0,0,2,4,4,0.0,2.137,5.225,0.358,0.505
3,2,1,7,170,170,4,0,0,3,3,5,0.5,1.88,4.232,0.339,1.041
3,2,1,7,171,171,2,0,0,2,4,5,1.0,1.901,3.098,1.589,0.519
3,2,1,8,172,172,3,1,0,4,2,4,0.5,2.088,7.185,0.378,1.696
3,2,1,8,173,173,4,0,0,4,2,5,1.0,2.075,5.621,0.558,1.218
3,2,1,8,174,174,4,0,0,3,3,5,0.5,2.041,2.822,0.749,0.648
3,2,1,8,175,175,2,0,0,2,4,6,1.0,1.967,0.632,0.471,0.385
3,2,1,8,176,176,3,1,0,2,4,5,0.0,1.838,5.785,0.554,0.505
3,2,1,8,177,177,2,1,0,1,1,4,0.5,1.905,4.367,1.059,0.714
3,2,1,8,178,178,4,0,0,3,3,4,0.5,2.13,4.773,0.844,1.802
3,2,1,8,179,179,4,0,0,4,2,5,1.0,2.072,1.695,1.066,0.732
3,2,1,8,180,180,2,0,0,1,1,4,0.5,2.022,3.089,0.525,0.788
3,2,1,8,181,181,2,0,0,1,1,5,0.5,2.092,7.004,0.709,0.556
3,2,1,8,182,182,1,1,0,1,1,4,1.0,2.19,9.801,0.667,0.679
3,2,1,8,183,183,1,0,0,1,1,6,1.0,2.139,5.564,0.35,0.435
3,2,1,8,184,184,3,0,0,3,3,5,1.0,2.091,1.812,0.099,0.804
3,2,1,8,185,185,4,0,0,3,3,4,0.5,1.892,5.084,0.442,0.744
3,2,1,8,186,186,1,1,0,4,2,5,0.0,2.197,0.506,1.027,0.682
3,2,1,8,187,187,1,0,0,2,4,6,0.5,2.17,0.069,0.274,1.196
3,2,1,8,188,188,4,0,0,3,3,4,0.5,1.981,8.57,0.751,0.996
3,2,1,8,189,189,2,0,0,1,1,4,0.5,1.9,2.883,0.763,2.042
3,2,1,8,190,190,1,0,0,1,1,6,1.0,2.004,0.234,0.276,0.637
3,2,1,8,191,191,4,1,0,4,2,4,1.0,2.099,2.707,0.97,0.639
3,2,1,8,192,192,3,0,0,3,3,5,1.0,2.113,2.158,0.774,0.599
3,2,1,8,193,193,2,0,0,2,4,4,1.0,2.182,5.584,0.683,0.58
3,2,1,8,194,194,2,1,0,2,4,5,1.0,1.943,3.784,0.485,0.517
3,2,1,8,195,195,3,0,0,1,1,4,0.0,2.187,4.02,1.503,0.648
3,2,1,8,196,196,4,1,0,4,2,4,1.0,1.892,3.427,0.85,0.779
3,2,1,8,197,197,1,0,0,1,1,5,1.0,1.806,5.322,1.685,0.637
3,2,1,8,198,198,3,1,0,3,3,5,1.0,2.152,8.647,0.548,0.617
3,2,1,8,199,199,4,1,0,4,2,5,1.0,1.823,8.361,0.376,0.905
3,2,1,8,200,200,4,1,0,4,2,5,1.0,1.883,4.572,0.426,0.516
3,2,1,8,201,201,3,0,0,3,3,6,1.0,2.082,4.605,0.447,0.432
3,2,1,9,202,202,3,1,0,3,3,4,1.0,1.884,4.896,0.634,0.731
3,2,1,9,203,203,3,0,0,4,2,4,0.5,1.927,2.736,0.969,1.334
3,2,1,9,204,204,1,0,0,1,1,5,1.0,2.186,2.965,0.369,0.621
3,2,1,9,205,205,4,0,0,3,3,4,0.5,1.873,6.446,0.356,0.641
3,2,1,9,206,206,2,0,0,4,2,6,0.0,2.11,5.105,0.269,0.677
3,2,1,9,207,207,4,0,0,4,2,4,1.0,2.038,6.657,0.358,0.549
3,2,1,9,208,208,1,0,0,1,1,5,1.0,1.912,1.968,0.333,0.573
3,2,1,9,209,209,3,0,0,1,1,6,0.0,1.819,1.541,0.252,9.467
3,2,1,9,210,210,4,1,0,4,2,5,1.0,1.875,5.869,1.147,0.564
3,2,1,9,211,211,3,0,0,3,3,3,1.0,2.134,12.032,0.62,0.829
3,2,1,9,212,212,1,0,0,1,1,6,1.0,1.816,1.224,0.813,1.18
3,2,1,9,213,213,2,0,0,3,3,5,0.0,2.171,1.189,0.557,1.093
3,2,1,9,214,214,2,0,0,1,1,4,0.5,2.032,6.079,0.324,0.523
3,2,1,9,215,215,2,0,0,2,4,6,1.0,2.089,0.622,0.483,0.6
3,2,1,9,216,216,3,0,0,4,2,4,0.5,2.074,5.789,0.38,0.556
3,2,1,9,217,217,2,1,0,2,4,6,1.0,1.983,0.864,0.469,0.485
3,2,1,9,218,218,3,0,0,3,3,5,1.0,1.945,4.206,0.661,0.515
3,2,1,9,219,219,3,1,0,3,3,4,1.0,1.848,2.583,0.293,0.619
3,2,1,9,220,220,1,0,0,1,1,4,1.0,1.978,7.078,0.578,0.603
3,2,1,9,221,221,1,1,0,4,2,4,0.0,2.067,10.451,0.845,2.971
3,2,1,9,222,222,4,0,0,4,2,5,1.0,1.85,9.845,0.452,0.524
3,2,1,9,223,223,3,0,0,4,2,5,0.5,1.816,8.607,0.514,0.71
3,2,1,9,224,224,1,0,0,1,1,5,1.0,1.831,2.048,0.429,0.509
3,2,1,9,225,225,1,0,0,3,3,5,0.0,1.983,5.864,1.032,0.537
3,2,1,9,226,226,1,0,0,3,3,5,0.0,2.007,8.169,0.462,0.476
3,2,1,9,227,227,2,1,0,2,4,4,1.0,2.189,2.395,0.973,0.549
3,2,1,9,228,228,1,0,0,1,1,3,1.0,1.811,3.156,0.992,0.533
3,2,1,9,229,229,4,1,0,4,2,5,1.0,2.136,2.751,0.45,0.621
3,2,1,9,230,230,2,1,0,1,1,2,0.5,2.032,6.862,1.375,0.811
3,2,1,10,231,231,3,1,0,2,4,4,0.0,1.849,3.084,0.23,0.535
3,2,1,10,232,232,2,0,0,2,4,6,1.0,1.861,0.499,0.33,0.542
3,2,1,10,233,233,3,1,0,4,2,5,0.5,1.813,2.844,1.102,1.16
3,2,1,10,234,234,1,1,0,2,4,6,0.5,1.884,0.709,0.249,3.314
3,2,1,10,235,235,1,0,0,1,1,6,1.0,2.027,0.79,0.527,0.727
3,2,1,10,236,236,2,0,0,1,1,5,0.5,1.984,7.015,0.296,0.489
3,2,1,10,237,237,4,0,0,4,2,5,1.0,2.069,2.964,1.012,0.538
3,2,1,10,238,238,2,0,0,3,3,6,0.0,2.032,1.68,0.487,0.497
3,2,1,10,239,239,1,0,0,1,1,3,1.0,2.066,6.239,0.364,0.545
3,2,1,10,240,240,3,0,0,3,3,4,1.0,1.969,2.933,0.504,0.794
3,2,1,10,241,241,2,0,0,4,2,5,0.0,2.095,2.984,0.394,0.537
3,2,1,10,242,242,4,0,0,4,2,4,1.0,2.066,5.638,0.555,0.444
3,2,1,10,243,243,1,0,0,1,1,3,1.0,2.027,8.38,0.352,0.601
3,2,1,10,244,244,4,0,0,3,3,5,0.5,1.827,4.445,0.37,0.724
3,2,1,10,245,245,3,1,0,2,4,5,0.0,1.904,2.554,0.759,0.721
3,2,1,10,246,246,1,0,0,1,1,4,1.0,2.17,1.662,0.636,0.471
3,2,1,10,247,247,4,0,0,3,3,5,0.5,2.124,3.973,0.649,0.444
3,2,1,10,248,248,2,1,0,4,2,5,0.0,1.996,4.869,0.721,0.694
3,2,1,10,249,249,3,0,0,1,1,5,0.0,1.99,0.785,1.022,0.755
3,2,1,10,250,250,3,0,0,4,2,4,0.5,2.028,5.34,0.557,0.44
3,2,1,10,251,251,2,0,0,1,1,4,0.5,2.015,5.098,0.504,2.079
3,2,1,10,252,252,3,0,0,1,1,5,0.0,2.137,1.997,0.432,0.439
3,2,1,10,253,253,3,1,0,4,2,5,0.5,1.971,1.358,0.27,0.481
3,2,1,10,254,254,1,0,0,4,2,5,0.0,1.929,9.591,0.29,0.48
3,2,1,10,255,255,4,1,0,3,3,5,0.5,1.968,5.801,0.139,0.544
3,2,1,10,256,256,3,0,0,3,3,5,1.0,1.945,4.815,0.337,0.768
3,2,1,10,257,257,2,0,0,1,1,5,0.5,1.993,7.176,0.581,0.903
3,2,1,10,258,258,3,0,0,3,3,6,1.0,1.887,1.514,0.229,0.593
3,2,1,10,259,259,2,1,0,2,4,4,1.0,2.184,4.609,1.002,0.481
3,2,1,10,260,260,3,0,0,1,1,6,0.0,1.92,4.737,0.281,0.485
3,2,1,10,261,261,1,0,0,1,1,5,1.0,2.093,2.916,2.938,0.594
3,2,1,10,262,262,2,1,0,2,4,4,1.0,2.035,3.821,0.395,0.61
3,2,1,10,263,263,1,0,0,4,2,5,0.0,2.003,5.981,0.307,0.476
3,2,1,11,264,264,3,0,0,1,1,3,0.0,1.872,5.128,0.75,0.529
3,2,1,11,265,265,2,0,0,2,4,6,1.0,1.846,0.474,0.439,0.539
3,2,1,11,266,266,3,0,0,1,1,4,0.0,1.893,2.78,0.606,0.553
3,2,1,11,267,267,2,0,0,4,2,4,0.0,1.867,2.812,0.811,0.492
3,2,1,11,268,268,2,1,0,3,3,4,0.0,2.044,2.107,0.467,0.483
3,2,1,11,269,269,4,0,0,3,3,6,0.5,1.976,2.76,0.821,1.237
3,2,1,11,270,270,4,0,0,3,3,4,0.5,1.855,3.655,0.412,0.502
3,2,1,11,271,271,4,1,0,4,2,4,1.0,2.15,0.689,0.968,0.461
3,2,1,11,272,272,2,0,0,1,1,4,0.5,1.914,3.078,0.453,0.46
3,2,1,11,273,273,1,1,0,2,4,5,0.5,2.01,0.805,1.006,0.415
3,2,1,11,274,274,1,0,0,1,1,4,1.0,1.993,4.222,0.8,0.89
3,2,1,11,275,275,4,1,0,3,3,4,0.5,1.962,6.164,0.286,0.619
3,2,1,11,276,276,4,0,0,3,3,5,0.5,2.008,4.647,0.478,0.533
3,2,1,11,277,277,4,0,0,1,1,5,0.0,1.895,3.304,0.385,0.604
3,2,1,11,278,278,1,0,0,1,1,5,1.0,2.197,0.834,0.563,0.476
3,2,1,11,279,279,2,0,0,4,2,4,0.0,1.879,8.145,1.053,0.621
3,2,1,11,280,280,4,0,0,3,3,4,0.5,1.968,6.159,0.507,0.496
3,2,1,11,281,281,4,1,0,1,1,5,0.0,2.018,1.325,0.434,0.363
3,2,1,11,282,282,2,0,0,2,4,4,1.0,1.907,1.78,0.562,0.493
3,2,1,11,283,283,3,1,0,3,3,4,1.0,1.903,5.473,0.292,0.468
3,2,1,11,284,284,3,0,0,1,1,5,0.0,2.12,3.495,0.255,0.483
3,2,1,11,285,285,4,0,0,3,3,6,0.5,2.041,4.022,0.923,0.531
3,2,1,11,286,286,1,0,0,1,1,5,1.0,2.174,3.793,0.267,0.494
3,2,1,11,287,287,4,1,0,4,2,6,1.0,2.09,7.541,0.901,0.498
3,2,1,11,288,288,4,1,0,1,1,5,0.0,1.976,2.519,0.422,0.581
3,2,1,11,289,289,3,1,0,1,1,4,0.0,2.048,2.696,0.674,0.589
3,2,1,11,290,290,3,1,0,4,2,4,0.5,1.962,2.733,0.455,0.516
3,2,1,11,291,291,1,0,0,1,1,6,1.0,1.846,0.433,0.201,0.396
3,2,1,11,292,292,4,0,0,2,4,4,0.0,1.928,0.966,0.344,0.476
3,2,1,11,293,293,1,0,0,1,1,4,1.0,2.032,2.862,0.389,0.637
3,2,1,11,294,294,2,0,0,1,1,4,0.5,2.052,4.363,0.499,0.571
3,2,1,11,295,295,4,1,0,3,3,5,0.5,1.999,3.208,0.388,1.516
3,2,1,11,296,296,3,0,0,4,2,6,0.5,2.126,1.065,0.677,0.652
3,2,1,11,297,297,4,1,0,4,2,5,1.0,1.818,3.429,0.628,0.581
3,2,1,11,298,298,1,0,0,3,3,5,0.0,1.837,2.185,0.418,0.453
3,2,1,11,299,299,2,0,0,1,1,4,0.5,1.972,3.147,0.605,0.605
3,2,1,12,300,300,2,0,0,4,2,4,0.0,1.968,5.481,0.915,0.594
3,2,1,12,301,301,2,0,0,2,4,6,1.0,2.02,0.907,0.28,0.652
3,2,1,12,302,302,3,0,0,1,1,4,0.0,1.915,4.22,0.318,0.501
3,2,1,12,303,303,2,0,0,3,3,4,0.0,2.153,6.887,0.55,0.668
3,2,1,12,304,304,2,0,0,1,1,5,0.5,1.846,2.576,0.71,0.633
3,2,1,12,305,305,1,0,0,1,1,6,1.0,1.957,1.082,0.305,1.367
3,2,1,12,306,306,3,1,0,3,3,6,1.0,2.184,1.664,0.321,0.44
3,2,1,12,307,307,4,0,0,4,2,5,1.0,2.046,3.056,0.999,0.489
3,2,1,12,308,308,1,0,0,4,2,4,0.0,2.076,5.739,0.564,0.563
3,2,1,12,309,309,3,0,0,3,3,5,1.0,1.822,5.153,0.608,0.695
3,2,1,12,310,310,3,1,0,2,4,5,0.0,1.903,3.584,0.678,0.707
3,2,1,12,311,311,4,0,0,2,4,5,0.0,1.868,2.138,0.581,0.828
3,2,1,12,312,312,4,0,0,3,3,4,0.5,2.038,14.201,0.311,0.761
3,2,1,12,313,313,2,1,0,1,1,4,0.5,1.824,7.751,0.48,0.5
3,2,1,12,314,314,1,1,0,2,4,5,0.5,2.052,0.875,1.091,1.045
3,2,1,12,315,315,2,0,0,1,1,5,0.5,2.165,4.93,1.189,1.147
