condition,iSession,iBlock,iTrial,stiID,probCat1,probCat2,ambiguous,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,3,151,143,0.076,0.924,0,2,2,3,1,3.129,1.335,7.445
1,1,3,152,183,0.442,0.558,1,1,1,3,1,3.616,1.306,5.248
1,1,3,153,182,0.928,0.072,0,1,1,1,1,4.101,1.204,7.035
1,1,3,154,184,0.034,0.966,0,2,2,1,1,3.358,3.194,15.281
1,1,3,155,191,0.202,0.798,0,2,2,1,0,3.861,1.02,7.12
1,1,3,156,133,0.061,0.939,0,1,1,1,0,3.995,0.998,9.362
1,1,3,157,178,0.937,0.063,0,1,1,1,1,6.033,0.818,6.719
1,1,3,158,157,0.57,0.43,1,1,1,1,1,2.793,0.827,5.374
1,1,3,159,148,0.329,0.671,0,1,1,1,1,5.919,0.94,5.395
1,1,3,160,192,0.106,0.894,0,2,2,1,1,2.441,1.041,5.775
1,1,3,161,185,0.484,0.516,1,1,1,1,0,2.595,0.957,5.613
1,1,3,162,135,0.963,0.037,0,1,1,1,1,8.916,1.072,5.897
1,1,3,163,150,0.839,0.161,0,2,2,1,0,6.409,1.041,7.092
1,1,3,164,146,0.273,0.727,0,1,1,1,0,5.76,3.37,6.805
1,1,3,165,176,0.907,0.093,0,1,1,1,1,8.879,3.35,5.175
1,1,3,166,147,0.661,0.339,0,2,2,1,1,5.978,0.91,5.08
1,1,3,167,144,0.139,0.861,0,2,2,2,1,6.46,2.292,4.512
1,1,3,168,129,0.316,0.684,0,2,2,3,0,3.601,1.652,6.752
1,1,3,169,189,0.944,0.056,0,1,1,1,1,26.78,0.936,11.905
1,1,3,170,155,0.628,0.372,0,2,2,1,0,3.74,0.896,6.788
1,1,3,171,165,0.024,0.976,0,1,1,1,0,7.429,1.253,7.073
1,1,3,172,132,0.072,0.928,0,2,2,2,1,4.531,1.415,5.486
1,1,3,173,164,0.042,0.958,0,2,2,1,1,14.934,1.043,4.369
1,1,3,174,130,0.754,0.246,0,2,2,1,0,7.452,1.005,4.657
1,1,3,175,142,0.332,0.668,0,1,1,1,1,11.545,1.404,11.712
1,1,3,176,156,0.947,0.053,0,2,2,3,0,13.511,1.309,9.179
1,1,3,177,186,0.122,0.878,0,2,2,2,0,4.353,1.061,7.089
1,1,3,178,145,0.066,0.934,0,2,2,1,1,13.206,1.024,5.492
1,1,3,179,168,0.032,0.968,0,2,2,1,1,2.783,0.883,5.916
1,1,3,180,169,0.055,0.945,0,2,2,6,1,2.986,1.862,7.349
1,1,3,181,175,0.553,0.447,1,1,1,1,0,4.428,0.787,7.034
1,1,3,182,188,0.964,0.036,0,1,1,2,1,10.474,1.918,4.283
1,1,3,183,151,0.923,0.077,0,1,1,1,1,6.105,0.998,4.429
1,1,3,184,190,0.889,0.111,0,1,1,2,1,3.027,0.763,8.149
1,1,3,185,174,0.895,0.105,0,1,1,3,1,1.88,1.024,4.003
1,1,3,186,171,0.149,0.851,0,1,1,2,0,5.188,1.109,4.49
1,1,3,187,152,0.874,0.126,0,1,1,2,0,16.111,1.045,4.472
1,1,3,188,167,0.167,0.833,0,2,2,3,1,3.234,1.772,4.591
1,1,3,189,172,0.13,0.87,0,2,2,4,1,2.251,1.402,4.333
1,1,3,190,181,0.04,0.96,0,2,2,3,1,3.706,0.936,7.038
1,1,3,191,159,0.049,0.951,0,2,2,3,1,1.963,1.023,4.961
1,1,3,192,173,0.946,0.054,0,1,1,2,1,3.795,0.941,4.674
1,1,4,193,227,0.036,0.964,0,2,2,3,1,8.807,1.295,4.687
1,1,4,194,233,0.874,0.126,0,1,1,2,1,7.435,1.019,5.911
1,1,4,195,206,0.887,0.113,0,1,1,2,0,6.785,0.964,4.615
1,1,4,196,211,0.884,0.116,0,2,2,2,0,2.85,0.89,5.903
1,1,4,197,241,0.144,0.856,0,1,1,1,0,13.01,2.691,3.338
1,1,4,198,247,0.916,0.084,0,1,1,2,1,22.707,1.081,4.071
1,1,4,199,235,0.342,0.658,0,2,2,3,0,8.385,1.084,4.06
1,1,4,200,244,0.698,0.302,0,2,2,1,1,9.537,0.998,4.522
1,1,4,201,216,0.025,0.975,0,1,1,2,0,58.443,1.158,7.292
1,1,4,202,252,0.081,0.919,0,2,2,4,1,8.905,1.095,11.523
1,1,4,203,194,0.1,0.9,0,1,1,2,0,3.65,2.704,8.259
1,1,4,204,213,0.08,0.92,0,2,2,1,1,5.612,1.078,3.316
1,1,4,205,202,0.099,0.901,0,2,2,1,1,6.701,0.818,3.781
1,1,4,206,231,0.95,0.05,0,1,1,3,1,1.576,1.277,3.692
1,1,4,207,245,0.029,0.971,0,2,2,2,1,8.979,1.231,7.164
1,1,4,208,226,0.354,0.646,0,1,1,2,0,7.065,0.865,5.125
1,1,4,209,198,0.156,0.844,0,2,2,6,0,2.421,1.358,3.41
1,1,4,210,228,0.67,0.33,0,1,1,3,0,14.451,0.587,5.214
1,1,4,211,219,0.978,0.022,0,1,1,2,1,7.328,1.07,4.863
1,1,4,212,251,0.084,0.916,0,2,2,2,1,3.379,1.133,4.74
1,1,4,213,243,0.457,0.543,1,1,1,2,0,2.41,1.109,3.87
1,1,4,214,236,0.409,0.591,1,2,2,2,1,1.987,1.557,12.426
1,1,4,215,254,0.288,0.712,0,1,1,1,1,5.288,1.198,8.34
1,1,4,216,246,0.296,0.704,0,2,2,2,1,8.543,1.644,6.982
1,1,4,217,204,0.879,0.121,0,1,1,3,1,2.994,1.348,4.456
1,1,4,218,224,0.985,0.015,0,1,1,3,1,1.931,1.32,3.697
1,1,4,219,218,0.962,0.038,0,1,1,2,1,8.333,2.803,5.524
1,1,4,220,229,0.661,0.339,0,2,2,3,0,5.641,1.369,11.598
1,1,4,221,208,0.737,0.263,0,2,2,3,0,4.918,1.632,3.9
1,1,4,222,221,0.221,0.779,0,2,2,4,1,3.723,0.943,4.334
1,1,4,223,239,0.89,0.11,0,1,1,2,1,1.494,2.067,6.75
1,1,4,224,212,0.964,0.036,0,1,1,2,1,5.987,1.446,6.036
1,1,4,225,196,0.067,0.933,0,2,2,3,1,2.575,1.215,10.281
1,1,4,226,255,0.955,0.045,0,1,1,3,0,1.612,1.357,7.319
1,1,4,227,256,0.16,0.84,0,2,2,3,0,1.652,1.458,4.905
1,1,4,228,248,0.675,0.325,0,2,2,3,0,9.48,0.863,4.29
1,1,4,229,217,0.861,0.139,0,1,1,1,1,15.944,0.94,6.989
1,1,4,230,223,0.981,0.019,0,1,1,1,1,5.04,1.432,6.087
1,1,4,231,203,0.864,0.136,0,2,2,2,0,3.106,1.176,6.548
1,1,4,232,214,0.92,0.08,0,1,1,2,1,2.048,0.895,4.764
1,1,4,233,222,0.894,0.106,0,1,1,3,1,1.417,1.178,3.67
1,1,4,234,237,0.079,0.921,0,2,2,3,1,1.716,0.969,3.81
1,1,4,235,232,0.631,0.369,0,2,2,2,1,3.3,1.551,2.394
1,1,4,236,205,0.543,0.457,1,2,2,3,1,2.496,0.75,3.405
1,1,4,237,250,0.935,0.065,0,1,1,1,1,7.078,1.172,8.419
1,1,4,238,193,0.768,0.232,0,1,1,1,0,10.587,0.836,8.797
1,1,4,239,249,0.958,0.042,0,1,1,2,1,17.139,0.688,3.763
1,1,4,240,200,0.056,0.944,0,2,2,2,1,2.723,0.785,3.666
1,1,4,241,238,0.039,0.961,0,2,2,2,1,2.993,0.82,0.02
1,1,4,242,197,0.938,0.062,0,1,1,2,1,8.129,1.133,0.017
1,1,4,243,210,0.021,0.979,0,2,2,4,1,1.334,1.171,3.439
1,1,4,244,195,0.047,0.953,0,2,2,4,1,1.52,1.414,4.452
1,1,4,245,242,0.547,0.453,1,1,1,3,1,1.878,1.051,5.226
1,1,4,246,240,0.439,0.561,1,2,2,5,1,1.354,0.903,5.333
1,1,4,247,253,0.066,0.934,0,1,1,3,0,2.689,1.16,4.935
1,1,4,248,225,0.913,0.087,0,1,1,3,1,4.176,0.682,6.276
1,1,4,249,199,0.778,0.222,0,2,2,2,1,1.15,0.658,4.85
1,1,4,250,220,0.214,0.786,0,2,2,4,1,1.826,1.099,5.658
1,1,4,251,207,0.289,0.711,0,1,1,2,0,4.818,0.779,7.795
1,1,4,252,209,0.95,0.05,0,1,1,2,1,3.495,0.878,6.619
1,1,4,253,215,0.026,0.974,0,2,2,2,1,5.577,0.622,3.201
1,1,4,254,201,0.492,0.508,1,1,1,3,0,3.583,0.68,5.455
1,1,4,255,234,0.148,0.852,0,2,2,2,1,2.54,0.546,3.558
1,1,4,256,230,0.059,0.941,0,2,2,4,0,2.114,1.24,2.657
1,1,5,257,307,0.458,0.542,1,1,1,1,0,3.725,0.826,7.514
1,1,5,258,314,0.603,0.397,0,2,2,2,0,2.975,0.457,3.936
1,1,5,259,271,0.103,0.897,0,2,2,2,1,5.592,0.459,7.155
1,1,5,260,260,0.045,0.955,0,2,2,1,1,3.644,0.747,4.157
1,1,5,261,302,0.04,0.96,0,2,2,3,1,9.469,1.348,3.416
1,1,5,262,300,0.892,0.108,0,1,1,2,1,1.818,0.452,3.653
1,1,5,263,276,0.023,0.977,0,2,2,4,1,1.728,1.555,5.498
1,1,5,264,284,0.572,0.428,1,1,1,2,0,3.166,0.676,8.177
1,1,5,265,269,0.056,0.944,0,2,2,3,1,1.513,0.976,3.139
1,1,5,266,274,0.925,0.075,0,1,1,1,1,6.839,1.118,4.019
1,1,5,267,295,0.072,0.928,0,2,2,2,1,1.661,0.827,2.662
1,1,5,268,275,0.807,0.193,0,2,2,1,0,5.087,0.876,4.939
1,1,5,269,319,0.016,0.984,0,2,2,4,1,1.197,1.191,2.468
1,1,5,270,294,0.919,0.081,0,1,1,3,1,3.891,0.611,2.537
1,1,5,271,320,0.795,0.205,0,1,1,2,1,14.045,1.07,3.241
1,1,5,272,279,0.41,0.59,1,1,1,2,1,2.564,0.752,4.77
1,1,5,273,257,0.961,0.039,0,1,1,4,1,1.236,0.997,2.896
1,1,5,274,288,0.036,0.964,0,2,2,4,1,1.427,1.038,2.493
1,1,5,275,289,0.959,0.041,0,1,1,3,1,7.549,0.616,5.387
1,1,5,276,280,0.018,0.982,0,2,2,4,1,3.962,1.102,6.912
1,1,5,277,304,0.883,0.117,0,1,1,3,1,1.86,0.501,6.8
1,1,5,278,311,0.082,0.918,0,2,2,4,1,1.269,0.989,3.071
1,1,5,279,303,0.262,0.738,0,2,2,3,1,2.872,0.855,0.907
1,1,5,280,316,0.875,0.125,0,1,1,3,0,2.284,0.393,4.104
1,1,5,281,282,0.652,0.348,0,2,2,4,0,1.147,1.001,3.34
1,1,5,282,305,0.106,0.894,0,2,2,2,1,2.054,0.583,3.257
1,1,5,283,267,0.334,0.666,0,1,1,2,0,2.606,0.926,3.159
1,1,5,284,306,0.522,0.478,1,1,1,2,0,2.389,0.455,3.54
1,1,5,285,310,0.952,0.048,0,1,1,2,1,7.934,0.818,2.955
1,1,5,286,265,0.977,0.023,0,1,1,3,1,1.442,0.842,2.725
1,1,5,287,264,0.085,0.915,0,2,2,2,1,3.261,0.805,5.918
1,1,5,288,312,0.146,0.854,0,2,2,2,1,13.758,0.811,4.127
1,1,5,289,315,0.753,0.247,0,1,1,2,1,1.627,0.63,5.205
1,1,5,290,296,0.092,0.908,0,2,2,2,1,1.771,0.727,8.425
1,1,5,291,298,0.972,0.028,0,1,1,3,1,1.422,1.768,3.571
1,1,5,292,270,0.391,0.609,0,1,1,2,0,1.768,0.612,4.439
1,1,5,293,291,0.079,0.921,0,2,2,2,1,1.212,1.023,3.146
1,1,5,294,318,0.954,0.046,0,1,1,2,1,1.199,0.53,0.015
1,1,5,295,286,0.038,0.962,0,2,2,3,1,1.671,0.223,3.084
1,1,5,296,317,0.202,0.798,0,2,2,6,1,6.142,1.1,1.993
1,1,5,297,261,0.103,0.897,0,2,2,3,1,6.436,1.02,0.015
1,1,5,298,313,0.755,0.245,0,1,1,4,0,3.304,0.973,6.967
1,1,5,299,278,0.97,0.03,0,2,2,2,0,6.553,0.918,3.971
1,1,5,300,308,0.224,0.776,0,1,1,2,0,3.901,0.394,12.946
1,1,5,301,285,0.911,0.089,0,1,1,2,1,11.367,0.468,6.649
1,1,5,302,266,0.73,0.27,0,2,2,4,0,2.491,1.067,7.936
1,1,5,303,301,0.053,0.947,0,2,2,5,1,1.774,1.353,4.012
1,1,5,304,283,0.243,0.757,0,1,1,2,0,1.699,0.539,2.806
1,1,5,305,277,0.873,0.127,0,1,1,2,1,1.641,1.714,3.965
1,1,5,306,281,0.299,0.701,0,1,1,2,0,2.023,0.536,4.445
1,1,5,307,273,0.957,0.043,0,2,2,6,0,6.715,1.298,3.931
1,1,5,308,293,0.58,0.42,1,1,1,2,0,1.824,0.721,6.883
1,1,5,309,272,0.74,0.26,0,2,2,2,1,2.355,0.584,9.959
1,1,5,310,297,0.078,0.922,0,2,2,3,1,2.189,0.4,8.968
1,1,5,311,292,0.963,0.037,0,1,1,2,1,2.089,0.792,11.481
1,1,5,312,263,0.945,0.055,0,1,1,6,1,1.196,1.049,2.765
1,1,5,313,259,0.922,0.078,0,1,1,4,1,3.445,1.342,8.879
1,1,5,314,287,0.946,0.054,0,1,1,3,1,1.323,0.897,4.234
1,1,5,315,309,0.924,0.076,0,2,2,2,0,2.537,0.484,8.922
1,1,5,316,268,0.861,0.139,0,2,2,3,0,4.045,1.079,5.846
1,1,5,317,262,0.175,0.825,0,1,1,3,0,2.279,0.543,6.006
1,1,5,318,290,0.364,0.636,0,2,2,6,0,1.484,0.458,2.072
1,1,5,319,299,0.032,0.968,0,2,2,3,1,1.301,1.268,2.798
1,1,5,320,258,0.486,0.514,1,1,1,2,0,1.445,0.42,9.094
1,2,1,1,46,0.196,0.804,0,2,2,1,0,8.613,2.133,5.949
1,2,1,2,20,0.563,0.437,1,1,1,1,1,5.929,1.172,7.341
1,2,1,3,51,0.279,0.721,0,2,2,1,1,3.559,0.721,5.46
1,2,1,4,31,0.956,0.044,0,1,1,1,1,23.763,0.911,5.915
1,2,1,5,24,0.95,0.05,0,1,1,1,1,2.49,0.786,10.426
1,2,1,6,53,0.981,0.019,0,1,1,1,1,2.195,0.846,6.261
1,2,1,7,11,0.785,0.215,0,2,2,2,0,3.422,0.937,10.283
1,2,1,8,37,0.917,0.083,0,1,1,3,1,1.324,0.745,4.401
1,2,1,9,4,0.988,0.012,0,1,1,1,1,1.047,0.841,3.247
1,2,1,10,32,0.963,0.037,0,1,1,1,1,3.66,0.749,8.073
1,2,1,11,39,0.85,0.15,0,1,1,1,1,1.206,0.752,5.613
1,2,1,12,48,0.739,0.261,0,1,1,1,0,1.437,0.831,11.75
1,2,1,13,40,0.098,0.902,0,2,2,6,1,1.456,1.065,7.952
1,2,1,14,21,0.093,0.907,0,2,2,6,1,1.645,1.415,5.888
1,2,1,15,58,0.645,0.355,0,2,2,2,1,5.58,2.337,10.325
1,2,1,16,62,0.072,0.928,0,2,2,6,1,1.111,0.854,4.391
1,2,1,17,63,0.453,0.547,1,2,2,3,0,2.276,1.317,8.404
1,2,1,18,47,0.042,0.958,0,2,2,3,1,4.667,1.66,9.052
1,2,1,19,34,0.041,0.959,0,2,2,6,1,1.145,1.038,5.116
1,2,1,20,60,0.782,0.218,0,1,1,6,1,1.35,0.724,4.619
1,2,1,21,1,0.65,0.35,0,1,1,5,0,1.631,0.944,8.391
1,2,1,22,41,0.194,0.806,0,2,2,6,1,1.102,0.846,6.083
1,2,1,23,9,0.946,0.054,0,1,1,6,1,1.31,0.758,2.83
1,2,1,24,56,0.521,0.479,1,2,2,5,1,2.838,0.904,9.337
1,2,1,25,61,0.846,0.154,0,1,1,6,1,1.389,1.145,10.521
1,2,1,26,50,0.05,0.95,0,2,2,6,1,1.097,0.544,4.879
